parametr,value
0,50
1,52
2,58
3,60
4,62
5,63
6,65
7,67
8,69
9,77
10,82
11,87
12,90
13,97
14,103
15,108
16,112
17,114
18,119
19,129
20,136
21,140
22,147
23,154
24,157
25,165
26,173
27,180
28,194
29,209
30,218
31,230
32,237
33,250
34,265
35,277
36,286
37,293
38,308
39,329
40,350
41,363
42,381
43,398
44,418
45,444
46,457
47,478
48,501
49,537
50,564
51,588
52,609
53,643
54,674
55,710
56,735
57,765
58,805
59,850
60,901
61,945
62,976
63,1033
64,1086
65,1154
66,1206
67,1267
68,1332
69,1399
70,1468
71,1519
72,1600
73,1681
74,1752
75,1847
76,1915
77,1997
78,2071
79,2170
80,2324
